,,Feature Hunt,
Criteria ,,Score ,Comments
,Workload Split,3,Commit history in Github
,Number of commits,3,484 commits
,Issues closed,3,11/15
,DOI badge: exists,3,Present in Github README.md
Documentation ,Is the format of the document ugly?,3,Well defined README
,Does the document talk about each functionality?,3,https://github.com/msethi13/feature-hunt#readme
,"For common use cases, does the document have mini-tutorials?",3,Videos and Screenshots present
,"Does the document tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing?",3,Present in README
,"Does it contain a short, animated video hosted on the repo that convinces people why they want to work on your code?",3,Properly indicates changes from previous phase and new features
,Use of version control tools,3,Git used as Version Control tool
,Use of style checkers,3,Use of Prettier
,Use of code formatters.,3,Use of Prettier
,Use of syntax checkers.,3,Use of Prettier
,Use of code coverage,3,Coverall workflow in GH
,Other automated analysis tools,3,Present in README & Workflows
,Test Case exist,3,Test defined in Github
,Test cases routinely executed,3,Workflow in Github
,The files contributing.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,
,Issues are discussed before they are closed,3,comments on issues and closed issues
,Chat channel: exists,3,
,Test cases: a large proportion of the issues related to handling failing cases.,3,Evidence in GH 'test' folder inside 'src'
,Short release cycles,3,
Q1 - What your software does,"Does your website and documentation provide a clear, high-level overview of your software?",Yes,https://github.com/msethi13/feature-hunt#readme
,Does your website and documentation clearly describe the type of user who should use your software?,Yes,https://github.com/msethi13/feature-hunt#readme
,Do you publish case studies to show how your software has been used by yourself and others?,Yes,Screenshots in https://github.com/msethi13/feature-hunt#readme
Q2 - Your project's and software's identity,"Is the name of your project/software unique?
",Yes,
,"Is your project/software name free from trademark violations?
",Yes,
Q3 - Availability of your software,Is your software available as a package that can be deployed without building it?,No,
,"Is your software available for free?
",Yes,Public repository on Github
,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,Public repository on Github
,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,Public repository on Github
Q4 - Your software's documentation,Is your documentation clearly available on your website or within your software?,Yes,https://github.com/msethi13/feature-hunt#readme
,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,https://github.com/msethi13/feature-hunt#readme
,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,https://github.com/msethi13/feature-hunt#readme
,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,https://github.com/msethi13/feature-hunt#readme
,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,Yes,
,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Yes,Documentation in GH Readme
,Do you store your documentation under revision control with your source code?,Yes,Documentation in Git
,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,Roadmap available in Readme
Q5 - How do you support your software?,Does your software describe how a user can get help with using your software?,Yes,Authors listed in GH
,"Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,Authors listed in GH
,Does your project have an e-mail address or forum that is solely for supporting users?,Yes,Given in README.md
,Are e-mails to your support e-mail address received by more than one person?,Yes,
,Does your project have a ticketing system to manage bug reports and feature requests?,Yes,Issue board in GH
,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,Issue board in GH
Q6 - Your software's maintai0bility,Is your software’s architecture and design modular?,Yes,Well defined code and file structure in GH
,Does your software use an accepted coding standard or convention?,Yes,
Q7 - Open standards and your software,"Does your software allow data to be imported and exported using open data formats? e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",No,
,"Does your software allow communications using open communications protocols? e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",Yes,REST APIs used
Q8 - Your software's portability,"Is your software cross-platform compatible? e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Yes,compatible with both macOS and Win
Q9 - Your software and accessibility,Does your software adhere to appropriate accessibility conventions or standards?,Yes,public repo on Github
,Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,public repo on Github
Q10 - How do you ma0ge your source code?,Is your source code stored in a repository under revision control?,Yes,Repo on Github
,Does each source code release a snapshot of the repository?,Yes,https://github.com/msethi13/feature-hunt/releases
,Are releases tagged in the repository?,Yes,https://github.com/msethi13/feature-hunt/releases
,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,main is stable branch
,Do you back-up your repository?,Yes,forked by authors
Q11 - Building and installing your software,Do you provide publicly-available instructions for building your software from the source code?,Yes,docker instructions
,"Can you build, or package, your software using an automated tool?",No,Use of docker
,Do you provide publicly-available instructions for deploying your software?,Yes,Instructions in Readme
,Does your documentation list all third-party dependencies?,Yes,https://github.com/msethi13/feature-hunt/blob/main/backend/requirements.txt
, Does your documentation list the version number for all third-party dependencies?,Yes,https://github.com/msethi13/feature-hunt/blob/main/backend/requirements.txt
,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",No,https://github.com/msethi13/feature-hunt/blob/main/backend/requirements.txt
,Can you download dependencies using a dependency management tool or package manager?,Yes,use of node and pip
,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,travis.yml
Q12 - How you test your software,"Do you have an automated test suite for your software?
",Yes,https://github.com/msethi13/feature-hunt/tree/main/test
,Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,Yes,Workflow in GH
,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,Workflow in GH
,Are your test results publicly visible?,Yes,travis.yml and badges in README
